APPL_ID,ACC_DATE,Riparian,Pre1914
S020161,02/15/2012,Y,
S017301,04/19/2012,Y,
S023261,09/27/2013,Y,Y
S018384,09/27/2011,Y,Y
S021126,07/20/2012,Y,
S023157,09/13/2013,Y,Y
S023281,09/30/2013,Y,Y
S023045,08/29/2013,Y,
S023142,09/13/2013,Y,
S018586,11/14/2011,Y,Y
S023557,10/21/2013,Y,
S018575,11/14/2011,Y,Y
S020067,03/06/2012,Y,
S016970,04/09/2012,Y,
S017629,04/17/2012,Y,
S023340,10/04/2013,Y,Y
S019971,07/10/2012,Y,
S019258,12/02/2011,Y,Y
S023192,09/23/2013,Y,
S023284,09/30/2013,Y,Y
S019586,07/02/2012,Y,Y
S020096,07/11/2012,Y,
S023493,10/16/2013,Y,
S023448,10/11/2013,Y,
S021425,08/10/2012,Y,Y
S020318,08/21/2012,Y,Y
S019538,07/02/2012,Y,Y
S018008,10/19/2011,Y,Y
S022071,09/28/2012,Y,
S021736,09/04/2012,Y,
S021816,09/11/2012,Y,Y
S020939,12/20/2011,Y,
S019656,12/20/2011,Y,Y
S016584,04/11/2012,Y,
S018590,01/27/2012,Y,Y
S020604,12/16/2011,Y,Y
S022661,05/23/2013,Y,
S023019,08/23/2013,Y,
S019443,12/14/2011,Y,Y
S021925,09/18/2012,Y,
S022292,11/05/2012,Y,
S017973,06/25/2011,Y,Y
S020781,12/20/2011,Y,Y
S018821,01/03/2012,Y,Y
S020825,12/29/2011,Y,Y
S020111,12/28/2011,Y,
S018020,10/24/2011,Y,Y
S022733,06/18/2013,Y,
S023687,10/30/2013,Y,
S023241,09/26/2013,Y,Y
S023825,12/03/2013,Y,Y
S023138,09/11/2013,Y,
S017387,04/30/2012,Y,Y
S023122,09/09/2013,Y,Y
S019713,01/04/2011,Y,Y
S018551,11/10/2011,Y,Y
S019346,11/29/2011,Y,
S017813,05/11/2012,Y,Y
S022863,07/29/2013,Y,
S020862,01/03/2010,Y,Y
S019077,01/10/2012,Y,Y
S023912,12/13/2013,Y,
S023229,09/26/2010,Y,Y
S017948,10/14/2011,Y,Y
S019302,11/28/2011,Y,Y
S022731,06/18/2013,Y,
S020595,07/18/2012,Y,
S024515,08/08/2014,Y,
S024164,01/16/2014,Y,Y
S023937,12/17/2013,Y,
S024345,02/13/2014,Y,Y
S024850,05/18/2015,Y,
S024492,07/30/2014,Y,
S024994,07/15/2015,Y,
S025181,09/02/2015,Y,
S024623,09/10/2014,Y,
S025120,08/05/2015,Y,
S024187,01/17/2014,Y,
S024871,06/15/2015,Y,Y
S024717,01/21/2015,Y,
S025051,07/23/2015,Y,
S024724,01/27/2015,Y,
S024761,04/02/2015,Y,
S024660,09/23/2014,Y,Y
S024390,04/10/2014,Y,
S024450,07/11/2014,Y,
S025798,09/08/2016,Y,Y
S025412,04/06/2016,Y,
S025972,01/04/2017,Y,Y
S025973,01/04/2017,Y,Y
S026064,03/06/2017,Y,
S025528,07/08/2016,Y,Y
S025462,05/09/2016,Y,
S025800,09/12/2016,Y,
S025416,04/07/2016,Y,
S025584,08/02/2016,Y,
S025937,11/30/2016,Y,
S025446,04/28/2016,Y,Y
S025728,08/24/2016,Y,
S027937,09/18/2018,Y,
S027940,09/18/2018,Y,
S028325,02/10/2020,Y,
S027062,08/30/2017,Y,
S028239,10/08/2019,Y,
S026464,07/24/2017,Y,
S026950,08/23/2017,Y,
S026215,06/15/2017,Y,
S026585,08/01/2017,Y,
S026963,08/23/2017,Y,
S027272,09/18/2017,Y,
S026584,08/01/2017,Y,
S026817,08/15/2017,Y,
S026380,07/17/2017,Y,
S026305,07/11/2017,Y,
S026732,08/08/2017,Y,
S028149,07/12/2019,Y,
S027091,08/31/2017,Y,
S026403,07/17/2017,Y,
S026456,07/24/2017,Y,
S026396,07/17/2017,Y,
S026987,08/25/2017,Y,
S027322,09/22/2017,Y,
S027377,09/28/2017,Y,
S026228,06/20/2017,Y,
S028048,12/14/2018,Y,
S026955,08/23/2017,Y,
S026734,08/08/2017,Y,
S028027,11/28/2018,Y,
S024718,01/22/2015,Y,
S012995,04/13/1987,Y,
S000041,11/18/1966,Y,
S000238,01/30/1967,Y,
S001370,01/01/1967,Y,
S001440,01/01/1967,Y,
S012832,01/14/1986,Y,
S002297,01/01/1967,Y,
S002456,07/03/1967,Y,
S002473,07/03/1967,Y,
S010392,06/29/1981,Y,
S013037,04/13/1987,Y,
S013128,10/08/1987,Y,
S013140,08/17/1987,Y,
S002675,07/05/1967,Y,
S010571,03/17/1981,Y,
S010781,03/21/1982,Y,
S010809,04/30/1982,Y,
S010865,07/21/1982,Y,Y
S013386,04/18/1990,Y,
S013389,01/17/1989,Y,Y
S003022,01/01/1967,Y,
S003147,01/01/1967,Y,
S011149,05/19/1983,Y,
S011191,07/06/1983,Y,
S000473,03/30/1967,Y,Y
S000500,01/01/1967,Y,
S000625,04/25/1967,Y,
S000638,05/04/1967,Y,Y
S003617,01/01/1967,Y,
S015518,03/16/2004,Y,Y
S004024,10/23/1967,Y,
S004108,01/01/1968,Y,
S004141,01/01/1968,Y,
S004153,01/01/1968,Y,
S004161,01/01/1968,Y,
S004165,01/01/1968,Y,
S011502,08/02/1984,Y,
S015598,02/01/2005,Y,
S001067,01/01/1967,Y,
S001121,01/01/1967,Y,
S001149,06/21/1967,Y,
S011770,12/11/1984,Y,
S011786,12/11/1984,Y,
S011860,12/11/1984,Y,
S013847,10/16/1992,Y,
S015921,01/10/2006,Y,
S004341,01/01/1968,Y,
S011888,12/11/1984,Y,
S011916,12/11/1984,Y,
S011964,12/11/1984,Y,
S011984,12/11/1984,Y,
S012030,12/11/1984,Y,
S014217,08/19/1994,Y,
S014218,08/03/1994,Y,
S014260,11/23/1994,Y,
S004957,01/01/1970,Y,
S004958,01/01/1970,Y,
S012257,08/28/1985,Y,
S014413,07/06/1995,Y,
S014555,03/14/1906,Y,Y
S005993,01/01/1970,Y,
S006001,01/01/1970,Y,
S012447,03/03/1986,Y,
S008745,03/24/1976,Y,
S006304,01/21/1971,Y,
S014882,01/22/1998,Y,
S014943,03/18/1998,Y,
S014988,07/10/1998,Y,
S007591,01/01/1971,Y,Y
S009291,06/13/1977,Y,
S015084,,Y,
S015231,08/20/2001,Y,
S007954,01/01/1972,Y,
S008094,05/02/1973,Y,
S015353,03/01/2001,Y,
S015414,01/17/2003,Y,
