"","APPL_ID"
"1084","A018188"
"1085","A029066"
"1086","A012149"
"1087","A015804"
"1088","A019843"
"1089","A020615"
"1090","S000521"
"1091","A025016"
"1092","A011184"
"1093","A009515"
"1094","A027157"
"1095","S000284"
"1096","A029100"
"1097","A025793"
"1098","A007989"
"1099","A013130"
"1100","A004951"
"1101","S008972"
"1102","C002338"
"1103","S011526"
"1104","S013926"
"1105","A022444"
"1106","S003028"
"1107","A018851"
"1108","S000927"
"1109","A028843"
"1110","S017469"
"1111","S018032"
"1112","S017482"
"1113","S018314"
"1114","S018048"
"1115","S017787"
"1116","S017918"
"1117","S010013"
"1118","C004734"
"1119","F003546C"
"1120","F003719C"
"1121","C000142"
"1122","S014000"
"1123","S002266"
"1124","A005643"
"1125","A001199"
"1126","S019065"
"1127","S019509"
"1128","S017599"
"1129","S020045"
"1130","S020907"
"1131","S018648"
"1132","S022320"
"1133","S019581"
"1134","A029889"
"1135","S001261"
"1136","A018523A"
"1137","A011146"
"1138","A007978"
"1139","S008304"
"1140","A027829"
"1141","S002953"
"1142","A027604"
"1143","A012394"
"1144","C001244"
"1145","S003154"
"1146","A016373E"
"1147","S012890"
"1148","F007102S"
"1149","C003936"
"1150","A023939"
"1151","A000763"
"1152","A006582"
"1153","A003247"
"1154","C000730"
"1155","S006964"
"1156","A018560"
"1157","A023532"
"1158","A002951"
"1159","A005626"
"1160","S022298"
"1161","S017174"
"1162","S020844"
"1163","S019365"
"1164","S018009"
"1165","S020285"
"1166","S020757"
"1167","S017400"
"1168","S018896"
"1169","S021937"
"1170","S021946"
"1171","S020370"
"1172","S021426"
"1173","S019890"
"1174","C003938"
"1175","A017916"
"1176","A008582"
"1177","F003649S"
"1178","A015002"
"1179","A011365"
"1180","A021970"
"1181","A009602"
"1182","A022696"
"1183","S008089"
"1184","A007988C"
"1185","A024983"
"1186","A011276"
"1187","C005579"
"1188","A011632"
"1189","A026515B"
"1190","A030169"
"1191","A025261"
"1192","A025968"
"1193","C004366"
"1194","A020671"
"1195","S008674"
"1196","A023174"
"1197","F013866S"
"1198","C004310"
"1199","A009825"
"1200","S020474"
"1201","S019826"
"1202","S021953"
"1203","S020264"
"1204","S019652"
"1205","S021330"
"1206","S017890"
"1207","A020543"
"1208","A025086"
"1209","A028104"
"1210","A015140"
"1211","S016602"
"1212","XC001770"
"1213","A029470"
"1214","S018060"
"1215","S016268"
"1216","A012263"
"1217","S017306"
"1218","S017382"
"1219","A004470"
"1220","A002957"
"1221","A002959"
"1222","A002839"
"1223","A002948"
"1224","A017442"
"1225","C005852"
"1226","S007786"
"1227","A020535"
"1228","D031598R"
"1229","A028812"
"1230","S012495"
"1231","C000908"
"1232","A026069"
"1233","S005715"
"1234","A029699"
"1235","A019843"
"1236","A022130"
"1237","A015710"
"1238","D031335R"
"1239","A020072"
"1240","A008984"
"1241","A029103"
"1242","A014283"
"1243","A000640"
"1244","S010861"
"1245","S012335"
"1246","A025183"
"1247","A025648"
"1248","S013698"
"1249","S013591"
"1250","A027822"
"1251","A013002"
"1252","A030082"
"1253","A022994"
"1254","F005596S"
"1255","A028724"
"1256","S015342"
"1257","A027266"
"1258","A021405"
"1259","A021637"
"1260","S011442"
"1261","S009116"
"1262","S000234"
"1263","D030766R"
"1264","S001854"
"1265","S022662"
"1266","S022670"
"1267","S019465"
"1268","S019123"
"1269","S024398"
"1270","A002318"
"1271","S000910"
"1272","C000015"
"1273","A021348"
"1274","S013648"
"1275","A004281"
"1276","A007284"
"1277","S000264"
"1278","S001278"
"1279","A013260"
"1280","S002962"
"1281","C002381"
"1282","A022666"
"1283","S000832"
"1284","A029587"
"1285","C001292"
"1286","A021973"
"1287","S010899"
"1288","A003290B"
"1289","A011389"
"1290","S008090"
"1291","A016065"
"1292","A009697"
"1293","A011823"
"1294","A023223"
"1295","S011422"
"1296","A024183"
"1297","S013357"
"1298","C002323"
"1299","S001577"
"1300","A006933"
"1301","S000909"
"1302","A010402"
"1303","A017187"
"1304","S009928"
"1305","A020852"
"1306","S017578"
"1307","S016832"
"1308","S017184"
"1309","S017824"
"1310","NJ19"
"1311","S017586"
"1312","S017962"
"1313","S017427"
"1314","S017868"
"1315","C004491"
"1316","S003034"
"1317","A011281"
"1318","F003521C"
"1319","S001085"
"1320","F026289"
"1321","C004276"
"1322","F011023S"
"1323","A016871"
"1324","A013214"
"1325","T031762"
"1326","S016301"
"1327","A010068D"
"1328","S016427"
"1329","A005645X12"
"1330","A031817"
"1331","S017081"
"1332","A025784B"
"1333","S002376"
"1334","S004119"
"1335","S004089"
"1336","F003736C"
"1337","S005219"
"1338","A018193"
"1339","F003717C"
"1340","S004164"
"1341","A026431"
"1342","F010442S"
"1343","A018551"
"1344","S020712"
"1345","S020727"
"1346","S018901"
"1347","S018889"
"1348","S024138"
"1349","S024184"
"1350","A023946"
"1351","S000623"
"1352","D030214R"
"1353","S011359"
"1354","S015651"
"1355","A021206"
"1356","A029233"
"1357","A015867"
"1358","C005847"
"1359","A011886"
"1360","A027603"
"1361","A027000"
"1362","S009406"
"1363","A015417B"
"1364","A014312"
"1365","A010787"
"1366","A020453"
"1367","C000572"
"1368","S012377"
"1369","A012005"
"1370","C001716"
"1371","S016904"
"1372","S016958"
"1373","C004660"
"1374","S017076"
"1375","S017026"
"1376","S018258"
"1377","S001438"
"1378","C000021"
"1379","S006248"
"1380","C004327"
"1381","S003021"
"1382","A020606"
"1383","F003432C"
"1384","C003618"
"1385","A006891"
"1386","A012240"
"1387","A015706"
"1388","UN001005"
"1389","A008756"
"1390","S013361"
"1391","S014008"
"1392","A029550"
"1393","D030278R"
"1394","F000155S"
"1395","S017142"
"1396","S020999"
"1397","S016590"
"1398","S019915"
"1399","S019590"
"1400","S020480"
"1401","S019840"
